time,timestamp,actionEye,actionUpperFace,powerUpperFace,actionLowerFace,powerLowerFace
1722054293.0074,2024-07-26 21:24:53.007,neutral,frown,0.95,clench,0.8
1722054293.0387,2024-07-26 21:24:53.038,neutral,frown,0.95,clench,0.8
1722054293.0699,2024-07-26 21:24:53.069,neutral,frown,0.95,clench,0.8
1722054293.1012,2024-07-26 21:24:53.101,neutral,frown,0.95,clench,0.8
1722054293.1324,2024-07-26 21:24:53.132,neutral,frown,0.95,clench,0.8
1722054293.1637,2024-07-26 21:24:53.163,neutral,frown,0.95,clench,0.8
1722054293.1949,2024-07-26 21:24:53.194,neutral,frown,0.95,clench,0.8
1722054293.2262,2024-07-26 21:24:53.226,neutral,frown,0.95,clench,0.8
1722054293.2574,2024-07-26 21:24:53.257,neutral,frown,0.95,clench,0.8
1722054293.2887,2024-07-26 21:24:53.288,neutral,frown,0.95,clench,0.8
1722054293.3199,2024-07-26 21:24:53.319,neutral,frown,0.95,clench,0.8
1722054293.3512,2024-07-26 21:24:53.351,neutral,frown,0.95,clench,0.8
1722054293.3824,2024-07-26 21:24:53.382,neutral,frown,0.95,clench,0.8
1722054293.4137,2024-07-26 21:24:53.413,neutral,frown,0.95,clench,0.8
1722054293.4449,2024-07-26 21:24:53.444,neutral,frown,0.95,clench,0.8
1722054293.4762,2024-07-26 21:24:53.476,neutral,frown,0.95,clench,0.8
1722054293.5074,2024-07-26 21:24:53.507,neutral,frown,0.95,clench,0.8
1722054293.5387,2024-07-26 21:24:53.538,neutral,frown,0.95,clench,0.8
1722054293.5699,2024-07-26 21:24:53.569,neutral,frown,0.95,clench,0.8
1722054293.6012,2024-07-26 21:24:53.601,neutral,frown,0.95,clench,0.8
1722054293.6324,2024-07-26 21:24:53.632,neutral,frown,0.95,clench,0.8
1722054293.6637,2024-07-26 21:24:53.663,neutral,frown,0.95,clench,0.8
1722054293.6949,2024-07-26 21:24:53.694,neutral,frown,0.95,clench,0.8
1722054293.7262,2024-07-26 21:24:53.726,neutral,frown,0.95,clench,0.8
1722054293.7574,2024-07-26 21:24:53.757,neutral,frown,0.95,clench,0.8
1722054293.7887,2024-07-26 21:24:53.788,neutral,frown,0.95,clench,0.8
1722054293.8199,2024-07-26 21:24:53.819,neutral,frown,0.95,clench,0.8
1722054293.8512,2024-07-26 21:24:53.851,neutral,frown,0.95,clench,0.8
1722054293.8824,2024-07-26 21:24:53.882,neutral,frown,0.95,clench,0.8
1722054293.9137,2024-07-26 21:24:53.913,neutral,frown,0.95,clench,0.8
1722054293.9449,2024-07-26 21:24:53.944,neutral,frown,0.95,clench,0.8
1722054293.9762,2024-07-26 21:24:53.976,neutral,frown,0.95,clench,0.8
1722054294.0074,2024-07-26 21:24:54.007,neutral,frown,0.95,clench,0.8
1722054294.0387,2024-07-26 21:24:54.038,neutral,frown,0.95,clench,0.8
1722054294.0699,2024-07-26 21:24:54.069,neutral,frown,0.95,clench,0.8
1722054294.1012,2024-07-26 21:24:54.101,neutral,frown,0.95,clench,0.8
1722054294.1324,2024-07-26 21:24:54.132,neutral,frown,0.95,clench,0.8
1722054294.1637,2024-07-26 21:24:54.163,neutral,frown,0.95,clench,0.8
1722054294.1949,2024-07-26 21:24:54.194,neutral,frown,0.95,clench,0.8
1722054294.2262,2024-07-26 21:24:54.226,neutral,frown,0.95,clench,0.8
1722054294.2574,2024-07-26 21:24:54.257,neutral,frown,0.95,clench,0.8
1722054294.2887,2024-07-26 21:24:54.288,neutral,frown,0.95,clench,0.8
1722054294.3199,2024-07-26 21:24:54.319,neutral,frown,0.95,clench,0.8
1722054294.3512,2024-07-26 21:24:54.351,neutral,frown,0.95,clench,0.8
1722054294.3824,2024-07-26 21:24:54.382,neutral,frown,0.95,clench,0.8
1722054294.4137,2024-07-26 21:24:54.413,neutral,frown,0.95,clench,0.8
1722054294.4449,2024-07-26 21:24:54.444,neutral,frown,0.95,clench,0.8
1722054294.4762,2024-07-26 21:24:54.476,neutral,frown,0.95,clench,0.8
1722054294.5074,2024-07-26 21:24:54.507,neutral,frown,0.95,clench,0.8
1722054294.5387,2024-07-26 21:24:54.538,neutral,frown,0.95,clench,0.8
