Time,Timestamp,Counter,Interpolated,Contact Quality,AF3,T7,Pz,T8,AF4
1722050307.1752,2024-07-26 20:18:27.175,38,false,0.0,4265.385, 4374.615, 4109.872, 4185.385, 4251.026
1722050307.183,2024-07-26 20:18:27.183,39,false,0.0,4268.205, 4377.051, 4107.692, 4194.359, 4251.795
1722050307.1909,2024-07-26 20:18:27.190,40,false,0.0,4257.564, 4371.539, 4091.539, 4187.18, 4232.82
1722050307.1987,2024-07-26 20:18:27.198,41,false,0.0,4243.974, 4366.41, 4092.308, 4182.051, 4221.026
1722050307.2065,2024-07-26 20:18:27.206,42,false,0.0,4244.103, 4366.667, 4112.18, 4178.333, 4225.769
1722050307.2143,2024-07-26 20:18:27.214,43,false,0.0,4251.795, 4358.974, 4122.18, 4171.667, 4234.615
1722050307.2221,2024-07-26 20:18:27.222,44,false,0.0,4262.308, 4356.282, 4122.308, 4172.692, 4239.744
1722050307.2299,2024-07-26 20:18:27.229,45,false,0.0,4269.615, 4376.539, 4122.82, 4171.154, 4232.692
1722050307.2377,2024-07-26 20:18:27.237,46,false,0.0,4258.205, 4378.461, 4112.564, 4159.744, 4215.641
1722050307.2455,2024-07-26 20:18:27.245,47,false,0.0,4247.564, 4355.128, 4104.872, 4166.667, 4214.359
1722050307.2534,2024-07-26 20:18:27.253,48,false,0.0,4258.718, 4361.667, 4116.795, 4188.077, 4227.82
1722050307.2612,2024-07-26 20:18:27.261,49,false,0.0,4266.282, 4382.18, 4121.282, 4189.231, 4223.846
1722050307.269,2024-07-26 20:18:27.269,50,false,0.0,4260.385, 4373.461, 4112.436, 4183.974, 4210.0
1722050307.2768,2024-07-26 20:18:27.276,51,false,0.0,4257.82, 4368.333, 4113.333, 4188.718, 4208.077
1722050307.2846,2024-07-26 20:18:27.284,52,false,0.0,4254.487, 4380.769, 4114.359, 4183.461, 4204.487
1722050307.2924,2024-07-26 20:18:27.292,53,false,0.0,4254.744, 4381.795, 4111.667, 4176.41, 4197.564
1722050307.3002,2024-07-26 20:18:27.300,54,false,0.0,4258.077, 4381.026, 4117.436, 4179.231, 4201.923
1722050307.308,2024-07-26 20:18:27.308,55,false,0.0,4241.795, 4382.436, 4113.846, 4172.436, 4204.359
1722050307.3159,2024-07-26 20:18:27.315,56,false,0.0,4229.872, 4370.128, 4104.231, 4166.539, 4200.769
1722050307.3237,2024-07-26 20:18:27.323,57,false,0.0,4243.205, 4363.077, 4114.359, 4176.923, 4199.872
1722050307.3315,2024-07-26 20:18:27.331,58,false,0.0,4238.59, 4363.333, 4121.154, 4179.487, 4188.333
1722050307.3393,2024-07-26 20:18:27.339,59,false,0.0,4221.667, 4356.282, 4112.949, 4174.231, 4175.0
1722050307.3471,2024-07-26 20:18:27.347,60,false,0.0,4231.539, 4370.256, 4121.667, 4178.846, 4184.487
1722050307.3549,2024-07-26 20:18:27.354,61,false,0.0,4234.487, 4396.539, 4129.872, 4181.282, 4193.205
1722050307.3627,2024-07-26 20:18:27.362,62,false,0.0,4218.846, 4383.205, 4108.974, 4179.872, 4180.385
1722050307.3705,2024-07-26 20:18:27.370,63,false,0.0,4222.18, 4361.026, 4096.154, 4181.41, 4170.385
1722050307.3784,2024-07-26 20:18:27.378,64,false,0.0,4228.205, 4378.846, 4109.487, 4175.0, 4171.154
1722050307.3862,2024-07-26 20:18:27.386,65,false,0.0,4219.359, 4392.308, 4118.205, 4167.949, 4168.333
1722050307.394,2024-07-26 20:18:27.394,66,false,0.0,4210.128, 4373.205, 4111.282, 4168.077, 4157.692
1722050307.4018,2024-07-26 20:18:27.401,67,false,0.0,4192.436, 4359.744, 4096.667, 4162.18, 4141.282
1722050307.4096,2024-07-26 20:18:27.409,68,false,0.0,4184.872, 4359.872, 4088.974, 4163.333, 4137.051
1722050307.4174,2024-07-26 20:18:27.417,69,false,0.0,4215.0, 4361.41, 4106.282, 4183.333, 4159.872
1722050307.4252,2024-07-26 20:18:27.425,70,false,0.0,4237.949, 4373.974, 4125.128, 4191.282, 4185.385
1722050307.433,2024-07-26 20:18:27.433,71,false,0.0,4225.513, 4384.487, 4114.103, 4177.436, 4191.154
1722050307.4409,2024-07-26 20:18:27.440,72,false,0.0,4213.718, 4374.487, 4100.513, 4170.385, 4186.41
